ra,dec,apflux_r_0.5arcsec,apflux_r_0.75arcsec,apflux_r_1.0arcsec,apflux_r_1.5arcsec,apflux_r_2.0arcsec,apflux_r_3.5arcsec,apflux_r_5.0arcsec
0.000320409,-69.24813462,37.6627,69.9097,98.492,132.9989,147.6422,160.7848,164.4148
0.000373423,-67.92901804,3.9407,7.4295,11.0174,16.8502,19.8824,22.8169,24.0702
0.000750979,-6.372451048,11.9542,21.6629,29.8958,39.8985,45.3259,54.64,57.6341
0.000865411,-6.372546586,12.2342,22.1795,30.339,39.4484,43.8576,53.293,57.3627
0.000903184,-67.92909608,5.6597,10.2982,14.1428,18.5282,20.6721,22.945,24.714
0.002599117,-35.1170325,21.5688,38.5561,52.5129,68.4224,75.1788,81.169,82.6865
0.004218773,-4.934608311,26.6087,47.1389,63.2499,79.6481,85.5923,90.1563,91.3426
0.005212918,-53.83852296,12.9001,22.5739,29.8724,37.4242,40.584,43.5829,44.5808
0.008092258,-24.48974555,10.2721,17.0653,21.5038,25.3369,26.5872,28.1001,29.3369
0.008101384,-24.48957528,5.6436,11.3864,17.2734,24.2009,26.288,28.0845,29.3127
0.008886385,-12.8011167,9.4802,19.4243,30.052,45.2771,51.7082,56.2619,57.8184
0.009011326,-12.80095024,15.3128,27.0905,36.6845,47.812,52.4845,56.3248,57.7995
0.010690904,-66.97732894,7.8976,14.765,21.0432,28.6342,31.4732,33.6333,34.4435
0.011068307,-66.97736953,9.2747,16.823,22.8838,29.2394,31.6808,33.6872,34.4639
0.017574784,-78.07720415,2.6181,5.429,8.7291,14.8455,18.6685,22.6968,23.9029
0.018460298,-78.07725438,4.1045,7.895,11.558,16.6869,19.5768,22.8726,24.1097
0.024361386,-23.34574865,41.2116,66.8716,82.8892,96.1991,100.6983,104.544,106.2589
0.027368854,-62.49881165,12.3269,21.5408,28.4207,35.3836,38.089,40.0797,40.9204
0.029063904,1.01241261,7.4962,14.3156,20.8325,28.7117,31.4677,33.4017,34.3449
0.029090277,1.012250399,11.2445,19.1467,24.7609,30.0205,31.8886,33.4782,34.354
